Gene	Ramos_19O2_NoCyclo_1	Ramos_1O2_NoCyclo_3	Ramos_1O2_NoCyclo_2	Ramos_19O2_NoCyclo_3	Ramos_1O2_NoCyclo_1	Ramos_1O2_PlusCyclo_1	Ramos_1O2_PlusCyclo_3	Ramos_1O2_PlusCyclo_2	Ramos_19O2_NoCyclo_2
NADK	6.896293278	6.913728531	6.682409299	6.905788964	6.865922201	6.803420822	6.774875933	6.666529881	6.818649133
GNB1	9.578347439	9.574715937	9.569065526	9.567316486	9.560238778	9.545579865	9.581091378	9.583238561	9.58706813
RP1-140A9.1	0.558254973	0.351190724	0.343098223	0.557639222	0.497760501	0.392373035	0.327079959	0.133189216	0.461714384
TMEM52	0.558254973	0.499189743	0.441451974	0.603164248	0.450210916	0.209484929	0.593538749	0.745889511	0.689668831
PRKCZ	4.228396568	4.03864064	3.859311689	4.058810906	3.916499502	4.000218959	3.921115248	3.977197605	3.929643869
RP11-181G12.2	0.14404262	0.63340892	0.343098223	0.4620387	0.297367509	0.392373035	0.384454452	0.367534624	0.130000847
FAAP20	3.22454533	3.40606314	3.171460886	3.508541782	3.291273422	3.432057702	3.60842559	3.42871288	3.349605683
SKI	4.413928745	4.626597964	4.590307821	4.666478088	4.5305539	4.46578939	4.57908694	4.397012231	4.439464127
MORN1	1.680297211	1.659453609	1.95000651	2.089438945	2.133471404	2.098211088	1.925691495	1.813360867	1.919028486
RP4-740C4.5	0.451530229	0.351190724	0.237545574	0.305596303	0.297367509	0.392373035	0.439634224	0.367534624	0.359389636
RP4-740C4.7	0.073818265	0	0	0	0.064579381	0	0.139847561	0.068131062	0.066464221
RER1	6.657600939	6.716740185	6.57478553	6.559700736	6.601283715	6.556737129	6.587551422	6.6359908	6.601890852
PEX10	3.793078944	4.014240649	3.859311689	3.921794519	3.858488264	4.028125235	4.249187308	3.909171684	3.774269358
PLCH2	0.14404262	0.298280014	0	0.24943745	0.185663593	0.073260545	0.204995859	0.133189216	0.066464221
PANK4	4.708563162	4.623912729	4.364493735	4.540506731	4.600283954	4.66259601	4.591322353	4.499265253	4.500837218
RP3-395M20.12	0.750590499	0.499189743	0.343098223	0.359650757	0.350135097	0.554663395	0.384454452	0.703676795	0.510277916
RP3-395M20.8	0.608795659	0.5453309	0.488223599	0.772128994	0.497760501	0.502569037	0.384454452	0.31241953	0.305370397
TNFRSF14	2.782374843	2.435577461	2.303831525	2.651870955	2.636663993	2.534171804	2.676899391	2.420130367	2.595682048
RP3-395M20.9	0.558254973	0.63340892	0.740879559	0.4620387	0.543792781	0.448522905	0.593538749	0.660191626	0.510277916
FAM213B	3.216419653	3.443093804	3.020530752	3.23252042	3.157033937	3.17346838	3.293476704	3.249590489	3.267226018
TTC34	0.073818265	0	0	0.066517542	0.126391427	0	0.071617632	0.195439736	0.130000847
TPRG1L	4.396053387	4.509279584	4.576845935	4.424832727	4.408355824	4.45212083	4.470670126	4.420007579	4.433180742
WRAP73	5.140842545	5.012661513	4.891534569	5.098707635	4.978893848	5.068557039	5.056020531	4.850701456	4.931405531
TP73	0.073818265	0.064793891	0	0.066517542	0.185663593	0.073260545	0	0.133189216	0
RP5-1092A11.5	0.837925859	0.940136715	0.922141403	0.887014967	0.754203364	0.874575284	0.641396023	0.52127128	0.689668831
TP73-AS1	1.304487559	1.504579772	1.052354006	1.272367385	1.24695522	1.266923039	1.118073922	1.045351824	1.353806933
SMIM1	0.395053348	0.243354689	0.291287008	0.24943745	0.185663593	0.142979989	0.267328903	0.195439736	0.249249555
LRRC47	6.115889101	6.173009343	6.068031747	6.082532555	6.122465582	6.14467607	6.201150347	6.16388051	6.109221986
CEP104	6.279850162	6.198499806	6.120933877	6.208465796	6.132855984	6.235247415	6.219002661	6.189916042	6.174713537
DFFB	4.303195327	4.368795943	4.216089539	4.399251948	4.18691878	4.44868336	4.346237239	4.272588495	4.385162249
C1orf174	5.26618591	5.38511093	5.385728492	5.405380173	5.331964482	5.40820389	5.339636699	5.273167317	5.396170924
RP13-15E13.1	3.006263477	3.309101594	3.206849161	3.142879857	3.236265986	3.190032521	3.022404823	3.135139372	2.917137052
RP11-718D19.2	0.879687753	0.79490909	1.052354006	0.647296543	1.218855503	0.992582498	1.048781116	0.976110041	0.646868678
NPHP4	3.562511607	3.609786002	3.359307878	3.682983858	3.480673499	3.755103758	3.831120231	3.741960232	3.495450018
KCNAB2	7.747734127	7.855467918	7.7795216	7.820065648	7.858017482	8.045594183	8.03278641	7.911726813	7.71394503
CHD5	0.14404262	0.186255238	0.123656379	0.130102893	0.064579381	0.073260545	0.204995859	0	0.305370397
RPL22	7.16682687	7.325496102	7.30146203	7.252349966	7.254264583	7.367555879	7.297343094	7.362345155	7.286893549
ICMT	7.566623714	7.717442642	7.828339645	7.571847754	7.755384535	7.688919846	7.656262533	7.699903034	7.639828672
LINC00337	1.07208511	1.133775949	1.052354006	1.38090658	1.24695522	1.029866509	1.083843496	1.011146298	0.958243901
GPR153	0.336275184	0.243354689	0.123656379	0.191003686	0.185663593	0.073260545	0.071617632	0	0.190856941
ACOT7	6.403100888	6.294495643	6.236742968	6.333598268	6.292196379	6.111365847	6.129545422	6.085914714	6.285241877
RP1-202O8.3	0.14404262	0.064793891	0.123656379	0.066517542	0.126391427	0	0	0.068131062	0
ESPN	0.2750002	0.402229393	0.237545574	0.359650757	0.297367509	0.273058765	0.384454452	0.195439736	0.359389636
TNFRSF25	0.14404262	0.064793891	0.06315264	0.066517542	0.242596397	0.142979989	0.327079959	0.255114961	0.130000847
PLEKHG5	1.422208266	1.818217668	1.503144155	1.481848236	1.676917234	1.785890727	1.982536244	1.645120226	1.456514614
NOL9	6.656850531	6.586261702	6.67547885	6.630117802	6.608070187	6.622283004	6.528328401	6.582397454	6.598385267
TAS1R1	0.14404262	0.126802425	0.06315264	0.130102893	0.242596397	0.142979989	0.204995859	0.133189216	0.066464221
ZBTB48	4.523367391	4.449872872	4.277294946	4.679819354	4.264569384	4.567546046	4.487133843	4.329216556	4.485736973
KLHL21	4.352226648	4.213142103	4.115399277	4.339980859	4.264569384	4.269348122	4.198099007	4.23973045	4.186557423
PHF13	4.708563162	4.870381201	4.776120461	4.679819354	4.707812917	4.760113119	4.503411797	4.645804332	4.654578699
THAP3	3.024994185	3.233611547	2.904621373	3.063674887	3.017191402	3.270115226	3.232287309	3.158767498	3.012939716
DNAJC11	7.213502511	7.045987419	6.957923691	7.118155278	7.039124934	7.113974035	7.093629234	7.057558333	7.115509209
RP11-312B8.1	0.211006825	0.351190724	0.237545574	0.359650757	0.543792781	0.392373035	0.204995859	0.068131062	0.305370397
CAMTA1	4.762576575	4.854433859	4.88935806	4.952474769	4.840519556	4.961675754	5.024784832	4.912235055	4.933632909
VAMP3	5.145129597	5.195581863	5.268364766	5.141765092	5.353124867	5.178476971	5.073570487	5.137048531	5.2536857
RP3-467L1.6	0.395053348	0.186255238	0.393113077	0.411752846	0.242596397	0.209484929	0.139847561	0.133189216	0.411459007
PER3	0.920274692	0.5453309	0.533526401	0.690118798	0.754203364	0.604942047	0.732596128	0.471823901	0.771638484
PARK7	7.657582881	7.691068212	7.660768346	7.622125951	7.634288532	7.657997434	7.718941776	7.692502304	7.658465292
RF00019	1.899146752	1.873521542	1.753413503	1.937778444	1.814714418	1.695969734	1.783636265	1.454637869	1.767445374
CTA-215D11.6	0.558254973	0.451523976	0.343098223	0.647296543	0.497760501	0.142979989	0.384454452	0.31241953	0.510277916
ERRFI1	0.395053348	0.243354689	0.393113077	0.24943745	0.297367509	0.392373035	0.267328903	0.367534624	0.359389636
CTA-215D11.4	0.073818265	0.186255238	0.123656379	0.066517542	0	0.073260545	0.139847561	0	0.190856941
RERE	8.248528714	8.186650662	8.156426681	8.270718824	8.213939715	8.07487593	8.100159945	8.067558373	8.228400581
RP5-1115A15.1	0.14404262	0	0.181724514	0.130102893	0.126391427	0.073260545	0.139847561	0	0.066464221
ENO1	11.2285508	11.59048297	11.58487038	11.20157461	11.64958919	11.55583617	11.53517043	11.60973196	11.16421463
RP3-477M7.3	0.336275184	0.243354689	0	0.130102893	0.401040581	0.273058765	0.384454452	0.367534624	0.249249555
RP3-477M7.4	0.14404262	0.064793891	0	0.130102893	0.242596397	0.073260545	0	0.133189216	0.190856941
SLC2A7	0.073818265	0.126802425	0.06315264	0	0.064579381	0.209484929	0	0.068131062	0
SLC2A5	7.731788856	7.847721146	7.750437301	7.713178083	7.825193802	8.079606358	8.039499691	8.038134323	7.661828055
GPR157	0.657625561	1.163665259	1.052354006	0.772128994	0.867137332	1.136263986	1.216146268	1.293212303	1.32694542
H6PD	4.734400691	5.002360473	4.7427535	4.840509686	5.038386939	5.201125811	5.095211906	5.18386304	4.562586948
SPSB1	2.93872195	3.069636171	3.127816277	2.766354	3.298004193	3.096482158	2.889996711	3.061840438	3.046257831
CTD-2510L9.2	0.211006825	0.351190724	0.533526401	0.191003686	0.297367509	0.073260545	0.267328903	0.367534624	0.249249555
CTD-2510L9.1	0.14404262	0.869349533	0.488223599	0.359650757	0.792838665	0.448522905	0.732596128	0.471823901	0.305370397
SLC25A33	4.590923421	4.689588311	4.655795132	4.501968763	4.547599051	4.598896797	4.566746871	4.468082716	4.65996984
RP13-15M17.1	0.211006825	0.064793891	0.06315264	0.24943745	0	0.333948995	0.204995859	0.31241953	0
TMEM201	5.440249272	5.529837642	5.33545245	5.463618839	5.414805221	5.551295923	5.449573137	5.548274797	5.45317619
PIK3CD	6.210973269	6.07221152	6.064177744	6.282917714	6.066406903	6.212118699	6.233712673	6.050564985	6.173771652
C1orf200	0.073818265	0.186255238	0.123656379	0.066517542	0.185663593	0.209484929	0.139847561	0.133189216	0.066464221
RP11-558F24.4	2.667858877	2.884604734	2.887275682	2.863090284	2.907036714	2.899055519	2.957719258	2.648693292	2.943902277
CLSTN1	8.620721149	8.555008227	8.484299943	8.618113362	8.57649281	8.641118058	8.63727505	8.606038375	8.565075949
CTNNBIP1	3.943415646	4.113292388	4.13022105	4.099090578	4.042087389	3.947611842	4.202093751	4.104322621	3.888901153
RP11-84A14.5	0	0.186255238	0.123656379	0.066517542	0.064579381	0.073260545	0	0.31241953	0.066464221
LZIC	5.806478648	5.698842784	5.634708458	5.76966511	5.754017807	5.772268873	5.691834749	5.668368735	5.825988004
RP11-84A14.4	0.14404262	0.186255238	0.237545574	0.130102893	0.242596397	0.142979989	0.071617632	0.195439736	0.066464221
NMNAT1	3.115164846	3.123858927	3.004531594	3.119571578	2.806773538	3.367989678	3.300946076	3.249590489	3.094835236
RN7SKP269	0.211006825	0.351190724	0.57744983	0.359650757	0.350135097	0.142979989	0.267328903	0.133189216	0.249249555
UBE4B	6.584510123	6.528567871	6.52868358	6.54738042	6.493261044	6.566285129	6.569110723	6.606940069	6.531578908
KIF1B	2.378479754	2.447775887	2.464505064	2.61900452	2.455870264	2.325117527	2.26815767	2.067504083	2.490678671
PGD	6.625742831	6.641736783	6.604279267	6.585448597	6.695419772	6.602311365	6.604250798	6.711825283	6.542565565
CENPS	1.531043689	1.741018473	1.95000651	1.529788461	1.547331317	1.763930436	1.449116422	1.553020495	1.845226859
DFFA	7.137003185	6.96289883	6.869595634	7.1132468	6.987491337	7.038236222	6.964949963	6.918570816	7.119917065
PEX14	4.17068901	3.844710161	4.073836315	4.176425432	3.933889773	4.209674297	4.275964967	4.059000256	4.049505893
CASZ1	2.288327182	2.011403742	1.846106136	2.089438945	2.249129703	2.115656879	2.34242608	2.050763259	1.919028486
TARDBP	7.524463295	7.589097152	7.732943836	7.637592042	7.621935883	7.508769868	7.453371398	7.464234042	7.669866848
MASP2	0.14404262	0.064793891	0.06315264	0.066517542	0.064579381	0	0	0	0.130000847
RP4-635E18.8	0.657625561	0.63340892	0.291287008	0.772128994	0.350135097	0.448522905	0.327079959	0.367534624	0.602759859
SRM	8.44583424	8.315593697	8.249941196	8.353803014	8.321079824	8.513672668	8.518361542	8.489750437	8.383909976
EXOSC10	7.260692195	7.350481865	7.19622523	7.250115788	7.222775316	7.215057011	7.260465866	7.185763005	7.226405709
RP4-635E18.7	0.395053348	0.402229393	0.441451974	0.24943745	0.297367509	0.333948995	0.492781014	0.367534624	0.190856941
RP4-635E18.6	0.395053348	0.298280014	0.488223599	0.411752846	0.126391427	0.604942047	0.439634224	0.420621413	0.461714384
MTOR	7.475937326	7.424487124	7.310437219	7.491282608	7.393935691	7.439024062	7.449175866	7.379205765	7.448265286
UBIAD1	5.868722052	5.798653194	5.633408555	5.822346743	5.846450615	5.828894874	5.860552078	5.863124974	5.934511576
DISP3	0.395053348	0.402229393	0.393113077	0.066517542	0.543792781	0.333948995	0.384454452	0.195439736	0.359389636
FBXO2	0.395053348	0.243354689	0.441451974	0.411752846	0.350135097	0.392373035	0.327079959	0.195439736	0.249249555
FBXO44	2.349050434	2.541819053	2.290697903	2.226662105	2.276651436	2.521138874	2.440369715	2.433106755	2.44143943
MAD2L2	5.644827054	5.52840251	5.525427379	5.582036856	5.516419826	5.560879882	5.54701842	5.495126891	5.609023035
DRAXIN	0.073818265	0.064793891	0	0	0	0.142979989	0	0.133189216	0.249249555
AGTRAP	3.287953933	3.525972393	3.390422004	3.693545641	3.566798038	3.466458865	3.61443311	3.43517718	3.349605683
C1orf167	0.073818265	0.126802425	0.06315264	0	0.064579381	0.142979989	0.267328903	0.195439736	0.249249555
MTHFR	5.207952044	5.065072503	4.96984059	5.29353817	5.112805128	5.168063316	5.216683008	5.106998778	5.132881356
CLCN6	4.462832644	4.440747052	4.042838438	4.563720683	4.222733402	4.292543269	4.190076182	4.033665404	4.077977569
NPPA-AS1	0.451530229	0.499189743	0.533526401	0.4620387	0.631672372	0.700529552	0.776121548	0.420621413	0.689668831
KIAA2013	6.071530752	6.250781271	6.174648068	6.125093228	6.358090199	6.336365252	6.36600475	6.295828904	6.03440234
PLOD1	5.207952044	5.815225606	5.773351598	5.261952454	5.8612963	5.871878165	5.698919658	5.790617369	5.186164804
MFN2	7.31830023	7.336198729	7.331431945	7.288069783	7.334204726	7.291402763	7.312203691	7.267727805	7.330651199
MIIP	4.232431538	4.20238289	3.928779732	4.103057376	4.00965166	4.225830206	4.241444363	4.046388442	4.148710118
TNFRSF8	0.959750985	0.905177235	0.778999686	0.958818546	0.830466243	1.101662745	0.899333337	1.045351824	0.8864714
TNFRSF1B	0.505879259	0.451523976	0.488223599	0.647296543	0.401040581	0.333948995	0.439634224	0.52127128	0.190856941
VPS13D	6.537179368	6.494428583	6.361321339	6.534953983	6.379666974	6.393799996	6.438061234	6.605507886	6.428741919
HNRNPCL2	0.14404262	0.064793891	0.181724514	0.066517542	0.126391427	0.073260545	0	0.068131062	0.066464221
PRDM2	7.418213981	7.382607602	7.296542836	7.436532013	7.332566623	7.343232717	7.311279374	7.268180461	7.359516854
KAZN	0.395053348	0.351190724	0.343098223	0.359650757	0.297367509	0.554663395	0.327079959	0.31241953	0.411459007
EFHD2	6.538809488	6.472953666	6.393160806	6.460381166	6.48443649	6.541489029	6.528328401	6.474343812	6.452236419
CASP9	4.097362955	4.001884135	3.898798191	3.970375773	3.876587595	4.086798375	3.982788703	3.941316658	3.938543649
DNAJC16	4.652448607	4.658436893	4.696198915	4.642148429	4.527693359	4.665560269	4.776849656	4.760921523	4.60233233
RP4-680D5.8	0.073818265	0.126802425	0.291287008	0.130102893	0.401040581	0	0.139847561	0.367534624	0
AGMAT	3.725977274	3.907883628	3.767491095	3.532271558	3.739912821	3.846752424	3.70729949	3.699630685	3.671253259
RP4-680D5.3	0.073818265	0.126802425	0.123656379	0.305596303	0.126391427	0	0.139847561	0.420621413	0.066464221
DDI2	7.381893011	7.305107369	7.349357078	7.39991739	7.370179551	7.32413128	7.308502867	7.354693114	7.40397109
PLEKHM2	5.773627989	5.679576931	5.597860989	5.800527584	5.73554268	5.759840066	5.822134233	5.649034539	5.728011109
SLC25A34	0.073818265	0.243354689	0.237545574	0.24943745	0.064579381	0.392373035	0.071617632	0	0.249249555
FBLIM1	0.336275184	0.243354689	0.291287008	0.305596303	0.350135097	0.653527313	0.204995859	0.31241953	0.411459007
UQCRHL	3.575276184	3.53743289	3.553251169	3.567150057	3.401633127	3.418064219	3.626373619	3.644910105	3.362889639
RP11-169K16.8	0.2750002	0.186255238	0.393113077	0.066517542	0.185663593	0.392373035	0.071617632	0.068131062	0.557259813
RP11-169K16.9	1.632241487	1.680281201	1.734138275	1.707048516	1.379787242	1.549617588	1.552861568	1.731691592	1.620340338
SPEN	8.570006071	8.442168234	8.230298876	8.588532737	8.377974337	8.421333418	8.41265729	8.412208018	8.480385243
ZBTB17	4.123670383	4.006014743	3.836898576	4.153657115	3.997297755	3.942732871	3.810335394	3.73149371	4.061776906
ARHGEF19	2.714761564	2.857429356	2.476154023	2.527514121	3.049459936	2.909095408	2.859970454	2.826410465	2.584385358
ANO7P1	0.505879259	0.243354689	0.237545574	0.411752846	0.297367509	0.073260545	0.492781014	0.31241953	0.359389636
RSG1	2.303749282	2.495563619	2.250564054	2.35195931	2.056174185	2.426454861	2.000997428	2.445967466	2.240200305
FBXO42	5.346563888	5.558244509	5.562781753	5.507676674	5.588193446	5.645887323	5.575013209	5.603844214	5.389695696
SZRD1	7.454506831	7.451241484	7.488143081	7.486735333	7.503909438	7.443348435	7.411719388	7.408656491	7.426683572
NECAP2	5.644827054	5.712809336	5.754342672	5.614357501	5.673486812	5.603236842	5.683286674	5.711611777	5.582298147
RP4-798A10.2	0.608795659	0.499189743	0.488223599	0.557639222	0.588401605	0.448522905	0.593538749	0.52127128	0.602759859
CROCCP3	0.451530229	0.675510233	0.57744983	0.557639222	0.450210916	0.273058765	0.267328903	0.471823901	0.249249555
RP4-798A10.7	0.073818265	0.126802425	0.06315264	0.130102893	0	0.073260545	0	0	0.066464221
NBPF1	4.17068901	4.109458181	4.06229002	4.172655578	3.912118982	4.095616916	4.153410906	3.936768137	4.156359426
CROCCP2	3.667571974	3.625979874	3.171460886	3.785275587	3.311372256	3.669100178	3.746121443	3.30711059	3.560311718
EIF1AP1	0.794918948	0.675510233	0.62007541	0.772128994	0.543792781	0.554663395	0.776121548	0.903376737	0.510277916
ESPNP	0.14404262	0	0.06315264	0	0.064579381	0	0.071617632	0.068131062	0
CROCC	3.962974721	3.807328877	3.402682167	3.952898557	3.759552076	4.086798375	4.001246677	3.59958835	3.789106424
RP11-108M9.4	0.211006825	0.186255238	0.291287008	0.4620387	0.242596397	0.448522905	0.267328903	0.31241953	0.305370397
ATP13A2	4.682254451	4.535234797	4.513250128	4.575189072	4.621904099	4.410320537	4.519508134	4.464927071	4.49179605
SDHB	7.173138231	7.165749178	7.200620547	7.202380607	7.15302352	7.12262851	7.15313245	7.191024517	7.214089372
PADI2	0.336275184	0.590041962	0.343098223	0.603164248	0.450210916	0.448522905	0.327079959	0.367534624	0.359389636
PADI4	0.2750002	0.351190724	0	0.24943745	0.185663593	0.502569037	0.267328903	0.471823901	0.305370397
RCC2	9.224541175	9.236746865	9.255724225	9.21382391	9.269056219	9.227071801	9.252067589	9.206454277	9.227015308
ACTL8	0.505879259	0.298280014	0.123656379	0.359650757	0.064579381	0.273058765	0.071617632	0.255114961	0.305370397
RP5-1126H10.2	0.14404262	0.126802425	0.123656379	0.191003686	0.185663593	0.142979989	0	0.195439736	0.190856941
UBR4	8.006707529	7.787505515	7.564472685	7.962785069	7.716975183	7.845134415	7.891511123	7.966306796	7.868045577
RP1-43E13.2	0.211006825	0.451523976	0.343098223	0.191003686	0.401040581	0.209484929	0.492781014	0.31241953	0.359389636
EMC1	6.671785024	6.549943953	6.541214618	6.666760632	6.601283715	6.765931897	6.733384042	6.826294651	6.733000795
MRTO4	7.884787544	7.821593959	7.807166702	7.877063984	7.83823987	7.842844785	7.88313803	7.858912542	7.925969885
AKR7L	0.395053348	0.126802425	0.343098223	0.191003686	0.242596397	0.142979989	0.204995859	0.31241953	0.249249555
AKR7A3	0	0.186255238	0.06315264	0.191003686	0.242596397	0	0.071617632	0.133189216	0.190856941
AKR7A2	5.160034745	5.094465504	5.028375947	5.088740002	5.012020556	4.9373545	5.042716526	5.004232023	4.869928437
RNU6-1099P	0.073818265	0.064793891	0.123656379	0	0.126391427	0.073260545	0	0.195439736	0
PQLC2	2.224935348	2.459872036	2.45276128	2.491651927	2.177936861	2.60998965	2.480392099	2.445967466	2.225731299
CAPZB	7.556198552	7.535453578	7.533448371	7.552033632	7.560285214	7.456672207	7.497516052	7.532897559	7.557370728
MINOS1	4.500126966	4.580255	4.518892846	4.507965101	4.484090353	4.529003103	4.49040416	4.520698819	4.616265862
